image:FILE,category
train/cat/Sphynx_159_jpg.rf.022528b23ac690c34ad5d109c1782079.jpg,0
train/cat/Persian_139_jpg.rf.0e67f7e0a76dc49d0ca91e43d22312e3.jpg,0
train/cat/Bengal_150_jpg.rf.05c93a40014062c5ae66bae50a857aca.jpg,0
train/cat/Bombay_140_jpg.rf.15757f698af74453f34ee58604ea6afc.jpg,0
train/cat/Persian_128_jpg.rf.16da80c477d1ca2bc131b0e46470c98d.jpg,0
train/cat/Persian_147_jpg.rf.1994a093a715c6cf96c66abae33bba66.jpg,0
train/cat/Birman_151_jpg.rf.179ae9238f29eda8d63af4da89c48e05.jpg,0
train/cat/Egyptian_Mau_107_jpg.rf.196d90df84e604b51a153e97c5cb03b1.jpg,0
train/cat/Abyssinian_167_jpg.rf.1d367cb1cf82c1e5ebda79fda928cee5.jpg,0
train/cat/Bengal_167_jpg.rf.1542d3551f036a577880f22719c2fd08.jpg,0
train/cat/Bombay_122_jpg.rf.218d47f5275b4de8706a9a56e6276113.jpg,0
train/cat/Siamese_152_jpg.rf.223d2c514483e1bc7b9798c7b41bc541.jpg,0
train/cat/British_Shorthair_187_jpg.rf.24d36402bce6b82092dc93876c65bb71.jpg,0
train/cat/Bombay_146_jpg.rf.288e58c8b226aa5b7c6ad4442f7fda5c.jpg,0
train/cat/Persian_117_jpg.rf.30b82f0e3d2ae0115aaf62d09e792f1f.jpg,0
train/cat/Bombay_153_jpg.rf.2da5201d989106a5b1b4025aec3349b4.jpg,0
train/cat/Birman_189_jpg.rf.29a9d3b4f764fc9e2cc6b78fbe5d30da.jpg,0
train/cat/Ragdoll_171_jpg.rf.325a9774a1007060ad0287feae2738d0.jpg,0
train/cat/Birman_144_jpg.rf.369cb41f763175f21c7cfd77e77509ec.jpg,0
train/cat/Maine_Coon_106_jpg.rf.38d811dc7cb3be67bafc7df4283afd86.jpg,0
train/cat/Bengal_165_jpg.rf.31185846cf5892c6e7e3f02784e04fef.jpg,0
train/cat/Egyptian_Mau_153_jpg.rf.39039c0b52c2d731a37b0324f64f4623.jpg,0
train/cat/Russian_Blue_199_jpg.rf.3b28c3f929bcca88072d214bdf63343b.jpg,0
train/cat/Birman_159_jpg.rf.3ba8a57e52d925aa33e85822004c591d.jpg,0
train/cat/Abyssinian_131_jpg.rf.3aeee0801499f335e3a59b51189e1351.jpg,0
train/cat/Birman_105_jpg.rf.2f96b7dd47bb15df4def745602f5434d.jpg,0
train/cat/Sphynx_177_jpg.rf.38e052693b96ad306bc8588d1a7d89c3.jpg,0
train/cat/Bengal_145_jpg.rf.3dadbfbb39437890fc249f7edb37cb2f.jpg,0
train/cat/Sphynx_139_jpg.rf.42d6df16ef508d3e5f9f8e5900e538d7.jpg,0
train/cat/Persian_132_jpg.rf.44dddca6e9c6ec6ad74beee94f294737.jpg,0
train/cat/Siamese_146_jpg.rf.439f1b23a575f38c2d04eec464ee375c.jpg,0
train/cat/Russian_Blue_151_jpg.rf.4f296123a0fd2cc682c178c5d2e1a4e3.jpg,0
train/cat/Bombay_127_jpg.rf.4c9fde3d1b3fc52a20cd4b2b82b98856.jpg,0
train/cat/Persian_152_jpg.rf.529c5adab2c165b8473d29a3e0a13967.jpg,0
train/cat/Maine_Coon_158_jpg.rf.570c2d4769b7e83b74119dacfbb5a2d6.jpg,0
train/cat/Siamese_200_jpg.rf.518c2b06142799698663bff0ad4c36c8.jpg,0
train/cat/Maine_Coon_115_jpg.rf.5bf6ecec323f015eb206f3b6ad1d8d65.jpg,0
train/cat/Russian_Blue_106_jpg.rf.5d06d5283e5b9e064c536613909a261b.jpg,0
train/cat/Egyptian_Mau_123_jpg.rf.5d20ae89246859ac44418de6f4e8d596.jpg,0
train/cat/Siamese_109_jpg.rf.558bcd320e5b903c76da3503ac7718a0.jpg,0
train/cat/Siamese_100_jpg.rf.626c287e034f7b8ffa56fd433bf0c652.jpg,0
train/cat/Russian_Blue_183_jpg.rf.657126ba93aa9a89ba60337fd90015e7.jpg,0
train/cat/British_Shorthair_177_jpg.rf.5efbf04740eeac07cdd83e5773d24221.jpg,0
train/cat/Bombay_18_jpg.rf.68c07a9d844cc01b8bf5582d7d3c0e01.jpg,0
train/cat/Ragdoll_160_jpg.rf.625334e2d1ce3b4e412899793b2da250.jpg,0
train/cat/Maine_Coon_131_jpg.rf.6bc4713c8c080f9d829226b01ad2216f.jpg,0
train/cat/Maine_Coon_10_jpg.rf.7197163a4c9374ee5e54107828067bd5.jpg,0
train/cat/Birman_186_jpg.rf.6c15b2f2afe3c230ded5e5d04d6affe5.jpg,0
train/cat/Bengal_13_jpg.rf.7c75131d257406a75d8d676dd9b5f5f7.jpg,0
train/cat/Russian_Blue_174_jpg.rf.7a3b6565101bc28aaf8709a725ac7563.jpg,0
train/cat/Abyssinian_15_jpg.rf.7bc44eeb9865e35cb1d5f9ef4f53b381.jpg,0
train/cat/Siamese_148_jpg.rf.7efb6cf128859a157ed3fee883d3b118.jpg,0
train/cat/Sphynx_157_jpg.rf.83da587173c7a763a3d527cdf38b985b.jpg,0
train/cat/Maine_Coon_161_jpg.rf.87a3ddb34373cc3701441bf83e12ed2c.jpg,0
